model,filename,src_ip,dst_ip,duration,transfer_kb,bandwidth_mbps
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,1.0,640.0,5.19
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,1.0,640.0,5.19
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.11,1.6,896.0,4.66
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.12,1.0,384.0,3.16
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.12,1.0,512.0,4.18
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.12,1.0,256.0,2.09
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,2.0,1146.88,4.68
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,2.0,1024.0,4.19
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,2.0,896.0,3.66
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.19,2.0,1146.88,4.69
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.12,2.0,640.0,2.62
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,1.0,768.0,6.19
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.12,1.0,384.0,3.14
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,2.0,896.0,3.64
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.18,1.6,640.0,3.21
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.11,1.0,640.0,5.18
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,1.0,384.0,3.11
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.9,1.0,256.0,2.06
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.16,1.0,512.0,4.18
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,1.0,512.0,4.14
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.19,1.0,512.0,4.14
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.11,2.0,1413.12,5.71
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.13,0.6,512.0,6.93
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.19,2.0,896.0,3.67
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,2.0,640.0,2.6
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,1.0,640.0,5.14
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,2.0,512.0,2.08
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,1.0,640.0,5.2
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.18,1.0,768.0,6.25
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.10,1.0,512.0,4.19
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.18,1.0,512.0,4.12
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.12,2.0,512.0,2.1
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,2.0,1413.12,5.76
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.19,2.0,512.0,2.08
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.19,1.0,640.0,5.24
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,1.0,512.0,4.16
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.14,1.0,512.0,4.16
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.11,2.0,640.0,2.6
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,1.0,640.0,5.23
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.20,2.0,1413.12,5.71
FIFO,iperf_server_h1.log,10.0.0.1,10.0.0.8,1.0,384.0,3.12
