Episode 1 finished with total reward 490.78882641246287, average loss 0.0138, end in 1000 steps
Episode 2 finished with total reward 491.9138071139877, average loss 0.0127, end in 1000 steps
Episode 3 finished with total reward 492.2320218261277, average loss 0.0222, end in 1000 steps
Episode 4 finished with total reward 490.4729469959577, average loss 0.0458, end in 1000 steps
Episode 5 finished with total reward 490.8571214256153, average loss 0.0654, end in 1000 steps
D:\Projects\SpecialProject\flow_management_v1.py:241: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  priorities = np.array([float(p) for p in self.priorities], dtype=np.float64)
Episode 6 finished with total reward 491.9787242005, average loss 0.0308, end in 1000 steps
Episode 7 finished with total reward 488.6357706226568, average loss 0.0152, end in 1000 steps
Episode 8 finished with total reward 492.34961851412396, average loss 0.0179, end in 1000 steps
Episode 9 finished with total reward 491.84478572245484, average loss 0.0202, end in 1000 steps
Episode 10 finished with total reward 491.63628946384625, average loss 0.0226, end in 1000 steps
Episode 11 finished with total reward 487.4854591784688, average loss 0.0253, end in 1000 steps
Episode 12 finished with total reward 489.93487763718343, average loss 0.0279, end in 1000 steps
Episode 13 finished with total reward 492.08622435287197, average loss 0.0315, end in 1000 steps
Episode 14 finished with total reward 491.5724219774006, average loss 0.0333, end in 1000 steps
Episode 15 finished with total reward 490.8319635868934, average loss 0.0363, end in 1000 steps
Episode 16 finished with total reward 491.81452265047596, average loss 0.0361, end in 1000 steps
Episode 17 finished with total reward 489.2566585727355, average loss 0.0374, end in 1000 steps
Episode 18 finished with total reward 490.43573923425424, average loss 0.0401, end in 1000 steps
Episode 19 finished with total reward 491.11782274311093, average loss 0.0382, end in 1000 steps
Episode 20 finished with total reward 491.2952340754867, average loss 0.0411, end in 1000 steps
Episode 21 finished with total reward 488.7715887412843, average loss 0.0404, end in 1000 steps
Episode 22 finished with total reward 490.88163264000053, average loss 0.0419, end in 1000 steps
Episode 23 finished with total reward 489.93809569361275, average loss 0.0418, end in 1000 steps
Episode 24 finished with total reward 490.88558388129803, average loss 0.0411, end in 1000 steps
Episode 25 finished with total reward 491.9146317488091, average loss 0.0404, end in 1000 steps
Episode 26 finished with total reward 490.569310878862, average loss 0.0402, end in 1000 steps
Episode 27 finished with total reward 489.75840714879723, average loss 0.0384, end in 1000 steps
Episode 28 finished with total reward 491.2305774761065, average loss 0.0355, end in 1000 steps
Episode 29 finished with total reward 491.4156073348934, average loss 0.0333, end in 1000 steps
Episode 30 finished with total reward 490.58553425527856, average loss 0.0330, end in 1000 steps
Episode 31 finished with total reward 491.72657501791446, average loss 0.0326, end in 1000 steps
Episode 32 finished with total reward 493.24724260873006, average loss 0.0309, end in 1000 steps
Episode 33 finished with total reward 490.3467093431357, average loss 0.0329, end in 1000 steps
Episode 34 finished with total reward 491.50457539631225, average loss 0.0364, end in 1000 steps
Episode 35 finished with total reward 492.6762536651208, average loss 0.0445, end in 1000 steps
Episode 36 finished with total reward 489.95523667022746, average loss 0.0522, end in 1000 steps
Episode 37 finished with total reward 493.67007799362057, average loss 0.0640, end in 1000 steps
Episode 38 finished with total reward 491.43554945754533, average loss 0.0911, end in 1000 steps
Episode 39 finished with total reward 493.19687303241665, average loss 0.0856, end in 1000 steps
Episode 40 finished with total reward 490.57087945491645, average loss 0.1118, end in 1000 steps
Episode 41 finished with total reward 489.18523675014484, average loss 0.1486, end in 1000 steps
Episode 42 finished with total reward 490.81058602677206, average loss 0.1809, end in 1000 steps
Episode 43 finished with total reward 491.7776911271957, average loss 0.2455, end in 1000 steps
Episode 44 finished with total reward 491.90869344068994, average loss 0.3963, end in 1000 steps
Episode 45 finished with total reward 489.88995372919635, average loss 0.2444, end in 1000 steps
Episode 46 finished with total reward 493.98892612309874, average loss 0.2270, end in 1000 steps
Episode 47 finished with total reward 488.13731846195014, average loss 0.2198, end in 1000 steps
Episode 48 finished with total reward 493.0177378864524, average loss 0.2449, end in 1000 steps
Episode 49 finished with total reward 493.7715687907009, average loss 0.2752, end in 1000 steps
Episode 50 finished with total reward 488.6967899983351, average loss 0.2855, end in 1000 steps
Episode 51 finished with total reward 490.1235437559326, average loss 0.2841, end in 1000 steps
Episode 52 finished with total reward 490.9090665873183, average loss 0.2907, end in 1000 steps
Episode 53 finished with total reward 491.70305668603544, average loss 0.2780, end in 1000 steps
Episode 54 finished with total reward 491.1903024405721, average loss 0.2554, end in 1000 steps
Episode 55 finished with total reward 492.70340110139443, average loss 0.2489, end in 1000 steps
Episode 56 finished with total reward 491.7736670882321, average loss 0.2695, end in 1000 steps
Episode 57 finished with total reward 491.27296468667436, average loss 0.2833, end in 1000 steps
Episode 58 finished with total reward 490.101626860419, average loss 0.2433, end in 1000 steps
Episode 59 finished with total reward 492.8716413814265, average loss 0.2424, end in 1000 steps
Episode 60 finished with total reward 491.46549616084053, average loss 0.2208, end in 1000 steps
Episode 61 finished with total reward 492.7582143082294, average loss 0.2087, end in 1000 steps
Episode 62 finished with total reward 492.10671850339025, average loss 0.1981, end in 1000 steps
Episode 63 finished with total reward 490.3935412152819, average loss 0.2114, end in 1000 steps
Episode 64 finished with total reward 492.8793756944651, average loss 0.2220, end in 1000 steps
Episode 65 finished with total reward 489.3024971884421, average loss 0.2482, end in 1000 steps
Episode 66 finished with total reward 490.5675678352161, average loss 0.2585, end in 1000 steps
Episode 67 finished with total reward 490.4765348733926, average loss 0.2766, end in 1000 steps
Episode 68 finished with total reward 492.73123963470823, average loss 0.2972, end in 1000 steps
Episode 69 finished with total reward 487.03424661177195, average loss 0.3113, end in 1000 steps
Episode 70 finished with total reward 491.4860428016708, average loss 0.3784, end in 1000 steps
Episode 71 finished with total reward 491.1947295973327, average loss 0.4489, end in 1000 steps
Episode 72 finished with total reward 494.4355579721572, average loss 0.5055, end in 1000 steps
Episode 73 finished with total reward 492.72425178196596, average loss 0.5115, end in 1000 steps
Episode 74 finished with total reward 493.70716249102696, average loss 0.5855, end in 1000 steps
Episode 75 finished with total reward 489.48980681997614, average loss 0.7000, end in 1000 steps
Episode 76 finished with total reward 494.11136488666676, average loss 0.7437, end in 1000 steps
Episode 77 finished with total reward 492.77746615221884, average loss 0.7694, end in 1000 steps
Episode 78 finished with total reward 488.8506819530956, average loss 0.8843, end in 1000 steps
Episode 79 finished with total reward 493.6727574873038, average loss 1.1157, end in 1000 steps
Episode 80 finished with total reward 488.76700308555314, average loss 1.1373, end in 1000 steps
Episode 81 finished with total reward 491.926026536808, average loss 1.0300, end in 1000 steps
Episode 82 finished with total reward 492.62356582319876, average loss 0.8689, end in 1000 steps
Episode 83 finished with total reward 490.01163062962024, average loss 0.8274, end in 1000 steps
Episode 84 finished with total reward 493.07692108595944, average loss 0.8258, end in 1000 steps
Episode 85 finished with total reward 489.5713080314365, average loss 0.9360, end in 1000 steps
Episode 86 finished with total reward 490.75230773240287, average loss 1.0000, end in 1000 steps
Episode 87 finished with total reward 490.9119093604664, average loss 0.9622, end in 1000 steps
Episode 88 finished with total reward 490.6698910692184, average loss 0.9183, end in 1000 steps
Episode 89 finished with total reward 492.1947499150905, average loss 0.9245, end in 1000 steps
Episode 90 finished with total reward 489.7149906558333, average loss 1.0199, end in 1000 steps
Episode 91 finished with total reward 492.8936463656196, average loss 0.9634, end in 1000 steps
Episode 92 finished with total reward 490.96126987624524, average loss 0.9107, end in 1000 steps
Episode 93 finished with total reward 489.9383283763351, average loss 0.8112, end in 1000 steps
Episode 94 finished with total reward 491.11539093464853, average loss 0.8090, end in 1000 steps
Episode 95 finished with total reward 490.9245807590554, average loss 0.7663, end in 1000 steps
Episode 96 finished with total reward 492.27807156207547, average loss 0.8668, end in 1000 steps
Episode 97 finished with total reward 489.31897937250994, average loss 0.8344, end in 1000 steps
Episode 98 finished with total reward 491.3317749017462, average loss 0.8956, end in 1000 steps
Episode 99 finished with total reward 494.28465436524505, average loss 0.9997, end in 1000 steps
Episode 100 finished with total reward 490.5143230889528, average loss 1.0847, end in 1000 steps
Episode 101 finished with total reward 489.89657021343567, average loss 1.1100, end in 1000 steps
Episode 102 finished with total reward 489.9587272170742, average loss 1.1934, end in 1000 steps
Episode 103 finished with total reward 492.5309312579158, average loss 1.3049, end in 1000 steps
Episode 104 finished with total reward 492.7650644424703, average loss 1.4571, end in 1000 steps
Episode 105 finished with total reward 487.09430497635947, average loss 1.5610, end in 1000 steps
Episode 106 finished with total reward 491.25282952611127, average loss 1.6180, end in 1000 steps
Episode 107 finished with total reward 490.70821500853754, average loss 1.7259, end in 1000 steps
Episode 108 finished with total reward 493.57742187860526, average loss 2.2610, end in 1000 steps
Episode 109 finished with total reward 491.28168226959616, average loss 2.7856, end in 1000 steps
Episode 110 finished with total reward 491.40357257953815, average loss 2.9764, end in 1000 steps
Episode 111 finished with total reward 492.565587998403, average loss 3.4416, end in 1000 steps
Episode 112 finished with total reward 489.89842056139906, average loss 4.1553, end in 1000 steps
Episode 113 finished with total reward 490.755384752643, average loss 4.5198, end in 1000 steps
Episode 114 finished with total reward 491.433968473023, average loss 3.5248, end in 1000 steps
Episode 115 finished with total reward 489.1731809752463, average loss 3.2733, end in 1000 steps
Episode 116 finished with total reward 491.5677676980818, average loss 3.3323, end in 1000 steps
Episode 117 finished with total reward 490.4691336579809, average loss 3.6085, end in 1000 steps
Episode 118 finished with total reward 490.5984731306738, average loss 3.9265, end in 1000 steps
Episode 119 finished with total reward 490.5522422561278, average loss 4.7389, end in 1000 steps
Episode 120 finished with total reward 489.7648291371658, average loss 4.7791, end in 1000 steps
Episode 121 finished with total reward 490.4606969142075, average loss 4.9363, end in 1000 steps
Episode 122 finished with total reward 488.50460844448304, average loss 4.8720, end in 1000 steps
Episode 123 finished with total reward 493.41576749915004, average loss 5.0140, end in 1000 steps
Episode 124 finished with total reward 492.85195596393686, average loss 5.5248, end in 1000 steps
Episode 125 finished with total reward 493.7732153969723, average loss 6.3054, end in 1000 steps
Episode 126 finished with total reward 487.77261235412783, average loss 8.0939, end in 1000 steps
Episode 127 finished with total reward 492.04749336313023, average loss 9.6504, end in 1000 steps
Episode 128 finished with total reward 491.95929643524414, average loss 10.2113, end in 1000 steps
